Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
, 2014-15,Kharif     ,2400,2100,0.88
,,Summer     ,2400,3100,1.29
,,Total,4800,5200,1.08
, 2015-16,Kharif     ,2600,1200,0.46
,,Summer     ,1900,2000,1.05
,,Total,4500,3200,0.71
, 2016-17,Kharif     ,2700,3600,1.33
,,Summer     ,2200,3200,1.45
,,Total,4900,6800,1.39
, 2017-18,Kharif     ,3000,3100,1.03
,,Summer     ,2054,2500,1.22
,,Total,5054,5600,1.11
, 2018-19,Kharif     ,3395,2413,0.71
,,Summer     ,410,510,1.24
,,Total,3805,2923,0.77
 13.JALNA, 2010-11,Kharif     ,500,400,0.80
,,Summer     ,100,100,1.00
,,Total,600,500,0.83
, 2011-12,Kharif     ,300,200,0.67
,,Summer     ,100,100,1.00
,,Total,400,300,0.75
, 2012-13,Kharif     ,200,100,0.50
,,Summer     ,200,200,1.00
,,Total,400,300,0.75
, 2013-14,Kharif     ,200,170,0.85
,,Summer     ,800,500,0.63
,,Total,1000,670,0.67
, 2014-15,Kharif     ,800,300,0.38
, 2015-16,Kharif     ,900,300,0.33
,,Summer     ,400,200,0.50
,,Total,1300,500,0.38
, 2016-17,Kharif     ,900,500,0.56
,,Summer     ,200,300,1.50
,,Total,1100,800,0.73
, 2017-18,Kharif     ,1286,700,0.54
,,Summer     ,272,300,1.10
,,Total,1558,1000,0.64
, 2018-19,Kharif     ,910,1199,1.32
,,Summer     ,255,210,0.82
,,Total,1165,1409,1.21
 14.KOLHAPUR, 2010-11,Kharif     ,58300,88400,1.52
,,Summer     ,2100,3700,1.76
,,Total,60400,92100,1.52
, 2011-12,Kharif     ,49500,62800,1.27
,,Summer     ,2000,4900,2.45
,,Total,51500,67700,1.31
, 2012-13,Kharif     ,50400,68400,1.36
,,Summer     ,2200,4800,2.18
,,Total,52600,73200,1.39
, 2013-14,Kharif     ,51000,89000,1.75
,,Summer     ,2600,6100,2.35
,,Total,53600,95100,1.77
, 2014-15,Kharif     ,51300,77700,1.51
,,Summer     ,3100,6400,2.06
,,Total,54400,84100,1.55
, 2015-16,Kharif     ,53700,85100,1.58
,,Summer     ,2600,4800,1.85
,,Total,56300,89900,1.60
, 2016-17,Kharif     ,48000,90200,1.88
,,Summer     ,900,2500,2.78
,,Total,48900,92700,1.90
, 2017-18,Kharif     ,53800,80700,1.50
,,Summer     ,700,1700,2.43
,,Total,54500,82400,1.51
, 2018-19,Kharif     ,42203,60741,1.44
,,Summer     ,700,1670,2.39
,,Total,42903,62411,1.45
 15.LATUR, 2010-11,Kharif     ,2700,1500,0.56
,,Summer     ,3000,3900,1.30
,,Total,5700,5400,0.95
, 2011-12,Kharif     ,3600,2100,0.58
,,Summer     ,3300,3500,1.06
,,Total,6900,5600,0.81
, 2012-13,Kharif     ,3000,2100,0.70
,,Summer     ,2600,3300,1.27
,,Total,5600,5400,0.96
, 2013-14,Kharif     ,2900,2600,0.90
,,Summer     ,3300,4800,1.45
,,Total,6200,7400,1.19
, 2014-15,Kharif     ,1700,400,0.24
,,Summer     ,1500,1100,0.73
,,Total,3200,1500,0.47
, 2015-16,Kharif     ,1400,200,0.14
,,Summer     ,8,1,0.13
,,Total,1408,201,0.14
, 2016-17,Kharif     ,1400,500,0.36
,,Summer     ,2800,3400,1.21
,,Total,4200,3900,0.93
, 2017-18,Kharif     ,1297,500,0.39
,,Summer     ,1176,1400,1.19
,,Total,2473,1900,0.77
, 2018-19,Kharif     ,1363,434,0.32
,,Summer     ,20,20,1.00
,,Total,1383,454,0.33
 16.NAGPUR, 2010-11,Kharif     ,4000,3500,0.88
,,Summer     ,400,400,1.00
,,Total,4400,3900,0.89
, 2011-12,Kharif     ,2900,2300,0.79
,,Summer     ,400,600,1.50
,,Total,3300,2900,0.88
, 2012-13,Kharif     ,2400,2600,1.08
,,Summer     ,500,1300,2.60
,,Total,2900,3900,1.34
, 2013-14,Kharif     ,2400,1160,0.48
,,Summer     ,500,900,1.80
,,Total,2900,2060,0.71
, 2014-15,Kharif     ,2500,600,0.24
,,Summer     ,500,1200,2.40
,,Total,3000,1800,0.60
, 2015-16,Kharif     ,2500,2340,0.94
,,Summer     ,1400,1900,1.36
,,Total,3900,4240,1.09
, 2016-17,Kharif     ,3000,4600,1.53
,,Summer     ,1300,2100,1.62
,,Total,4300,6700,1.56
, 2017-18,Kharif     ,2600,2800,1.08
,,Summer     ,992,1500,1.51
,,Total,3592,4300,1.20
, 2018-19,Kharif     ,2117,1078,0.51
,,Summer     ,170,230,1.35
,,Total,2287,1308,0.57
 17.NANDED, 2010-11,Kharif     ,300,200,0.67
,,Summer     ,7600,8300,1.09
,,Total,7900,8500,1.08
, 2011-12,Kharif     ,100,100,1.00
,,Summer     ,7700,7700,1.00
,,Total,7800,7800,1.00
, 2012-13,Kharif     ,100,100,1.00
,,Summer     ,5200,5800,1.12
,,Total,5300,5900,1.11
, 2013-14,Summer     ,7300,9000,1.23
, 2014-15,Kharif     ,100,,0.00
,,Summer     ,5000,4300,0.86
,,Total,5100,4300,0.84
, 2015-16,Summer     ,4800,2600,0.54
, 2016-17,Kharif     ,100,20,0.20
,,Summer     ,11600,10200,0.88
,,Total,11700,10220,0.87
, 2017-18,Kharif     ,69,4,0.06
,,Summer     ,3868,2700,0.70
,,Total,3937,2704,0.69
, 2018-19,Kharif     ,72,35,0.49
,,Summer     ,2880,2400,0.83
,,Total,2952,2435,0.82
 18.NANDURBAR, 2010-11,Kharif     ,8600,7200,0.84
,,Summer     ,8300,9300,1.12
,,Total,16900,16500,0.98
, 2011-12,Kharif     ,5800,5900,1.02
,,Summer     ,6900,9400,1.36
,,Total,12700,15300,1.20
, 2012-13,Kharif     ,4200,4000,0.95
,,Summer     ,8300,8400,1.01
,,Total,12500,12400,0.99
, 2013-14,Kharif     ,2000,1200,0.60
,,Summer     ,2400,3100,1.29
,,Total,4400,4300,0.98
, 2014-15,Kharif     ,2000,1300,0.65
,,Summer     ,2400,2700,1.13
,,Total,4400,4000,0.91
, 2015-16,Kharif     ,1900,1000,0.53
,,Summer     ,3200,3700,1.16
,,Total,5100,4700,0.92
, 2016-17,Kharif     ,2500,2100,0.84
,,Summer     ,1800,1500,0.83
,,Total,4300,3600,0.84
, 2017-18,Kharif     ,2300,2200,0.96
,,Summer     ,1559,1900,1.22
,,Total,3859,4100,1.06
, 2018-19,Kharif     ,2560,1352,0.53
,,Summer     ,1420,1150,0.81
,,Total,3980,2502,0.63
 19.NASHIK, 2010-11,Kharif     ,32400,27500,0.85
,,Summer     ,2300,2500,1.09
,,Total,34700,30000,0.86
, 2011-12,Kharif     ,27400,28100,1.03
,,Summer     ,1400,1500,1.07
,,Total,28800,29600,1.03
, 2012-13,Kharif     ,30100,26200,0.87
,,Summer     ,100,200,2.00
,,Total,30200,26400,0.87
, 2013-14,Kharif     ,33400,34600,1.04
,,Summer     ,100,140,1.40
,,Total,33500,34740,1.04
, 2014-15,Kharif     ,19900,20100,1.01
,,Summer     ,100,200,2.00
,,Total,20000,20300,1.02
, 2015-16,Kharif     ,19600,18100,0.92
,,Summer     ,100,100,1.00
,,Total,19700,18200,0.92
, 2016-17,Kharif     ,21100,34600,1.64
,,Summer     ,1500,2610,1.74
,,Total,22600,37210,1.65
, 2017-18,Kharif     ,22700,30100,1.33
,,Summer     ,1627,3420,2.10
,,Total,24327,33520,1.38
, 2018-19,Kharif     ,25095,23362,0.93
,,Summer     ,606,900,1.49
,,Total,25701,24262,0.94
 20.OSMANABAD, 2010-11,Kharif     ,9200,6100,0.66
,,Summer     ,1300,1400,1.08
,,Total,10500,7500,0.71
, 2011-12,Kharif     ,7400,4700,0.64
,,Summer     ,1300,700,0.54
,,Total,8700,5400,0.62
, 2012-13,Kharif     ,7300,2600,0.36
,,Summer     ,1000,400,0.40
,,Total,8300,3000,0.36
, 2013-14,Kharif     ,7100,6200,0.87
,,Summer     ,2000,2300,1.15
,,Total,9100,8500,0.93
, 2014-15,Kharif     ,7100,1900,0.27
,,Summer     ,1900,800,0.42
,,Total,9000,2700,0.30
, 2015-16,Kharif     ,4500,800,0.18
,,Summer     ,1100,400,0.36
,,Total,5600,1200,0.21
, 2016-17,Kharif     ,3700,1200,0.32
,,Summer     ,1800,1700,0.94
,,Total,5500,2900,0.53
, 2017-18,Kharif     ,4807,3000,0.62
,,Summer     ,1563,1300,0.83
,,Total,6370,4300,0.68
, 2018-19,Kharif     ,4282,2283,0.53
,,Summer     ,98,80,0.82
,,Total,4380,2363,0.54
 21.PALGHAR, 2011-12,Summer     ,100,100,1.00
, 2014-15,Kharif     ,200,200,1.00
, 2015-16,Kharif     ,100,100,1.00
,,Summer     ,30,100,3.33
,,Total,130,200,1.54
, 2016-17,Kharif     ,200,200,1.00
, 2017-18,Kharif     ,76,100,1.32
 22.PARBHANI, 2010-11,Kharif     ,100,100,1.00
,,Summer     ,5000,6300,1.26
,,Total,5100,6400,1.25
, 2011-12,Kharif     ,300,200,0.67
,,Summer     ,6300,6600,1.05
,,Total,6600,6800,1.03
, 2012-13,Kharif     ,200,100,0.50
,,Summer     ,4000,2400,0.60
,,Total,4200,2500,0.60
, 2013-14,Kharif     ,100,100,1.00
,,Summer     ,6400,6600,1.03
,,Total,6500,6700,1.03
, 2014-15,Summer     ,3100,2600,0.84
, 2015-16,Summer     ,200,200,1.00
, 2016-17,Summer     ,4000,4500,1.13
, 2017-18,Kharif     ,36,2,0.06
,,Summer     ,5046,6100,1.21
,,Total,5082,6102,1.20
, 2018-19,Summer     ,225,190,0.84
 23.PUNE, 2010-11,Kharif     ,35700,45900,1.29
,,Summer     ,5900,11100,1.88
,,Total,41600,57000,1.37
, 2011-12,Kharif     ,39200,41400,1.06
,,Summer     ,6900,11300,1.64
,,Total,46100,52700,1.14
, 2012-13,Kharif     ,37700,33200,0.88
,,Summer     ,6900,10100,1.46
,,Total,44600,43300,0.97
, 2013-14,Kharif     ,46000,37700,0.82
,,Summer     ,8100,14600,1.80
,,Total,54100,52300,0.97
, 2014-15,Kharif     ,47700,43000,0.90
,,Summer     ,8400,19100,2.27
,,Total,56100,62100,1.11
, 2015-16,Kharif     ,17100,19400,1.13
,,Summer     ,8500,19500,2.29
,,Total,25600,38900,1.52
, 2016-17,Kharif     ,17500,18500,1.06
,,Summer     ,4300,9700,2.26
,,Total,21800,28200,1.29
, 2017-18,Kharif     ,17800,16800,0.94
,,Summer     ,3886,6300,1.62
,,Total,21686,23100,1.07
, 2018-19,Kharif     ,21591,17601,0.82
,,Summer     ,2850,5120,1.80
,,Total,24441,22721,0.93
 24.RAIGAD, 2010-11,Kharif     ,100,100,1.00
,,Summer     ,200,300,1.50
,,Total,300,400,1.33
, 2011-12,Kharif     ,100,100,1.00
,,Summer     ,200,400,2.00
,,Total,300,500,1.67
, 2012-13,Kharif     ,100,100,1.00
,,Summer     ,200,300,1.50
,,Total,300,400,1.33
, 2013-14,Summer     ,200,600,3.00
, 2014-15,Summer     ,200,600,3.00
, 2015-16,Summer     ,200,300,1.50
, 2016-17,Summer     ,200,300,1.50
, 2017-18,Summer     ,123,200,1.63
, 2018-19,Summer     ,240,970,4.04
 25.RATNAGIRI, 2010-11,Kharif     ,200,200,1.00
,,Summer     ,200,400,2.00
,,Total,400,600,1.50
, 2011-12,Kharif     ,100,100,1.00
,,Summer     ,100,200,2.00
,,Total,200,300,1.50
, 2012-13,Kharif     ,100,100,1.00
, 2015-16,Summer     ,10,10,1.00
, 2016-17,Summer     ,100,70,0.70
, 2017-18,Summer     ,27,40,1.48
, 2018-19,Summer     ,60,180,3.00
 26.SANGLI, 2010-11,Kharif     ,28100,36000,1.28
,,Summer     ,900,1400,1.56
,,Total,29000,37400,1.29
, 2011-12,Kharif     ,23200,20700,0.89
,,Summer     ,1200,1500,1.25
,,Total,24400,22200,0.91
, 2012-13,Kharif     ,21300,16000,0.75
,,Summer     ,1300,1600,1.23
,,Total,22600,17600,0.78
, 2013-14,Kharif     ,25300,28300,1.12
,,Summer     ,1500,1700,1.13
,,Total,26800,30000,1.12
, 2014-15,Kharif     ,30000,30500,1.02
,,Summer     ,1800,2400,1.33
,,Total,31800,32900,1.03
, 2015-16,Kharif     ,28800,21100,0.73
,,Summer     ,1300,1400,1.08
,,Total,30100,22500,0.75
, 2016-17,Kharif     ,32100,41200,1.28
,,Summer     ,500,600,1.20
,,Total,32600,41800,1.28
, 2017-18,Kharif     ,28700,34400,1.20
,,Summer     ,546,800,1.47
,,Total,29246,35200,1.20
, 2018-19,Kharif     ,27467,28736,1.05
,,Summer     ,170,280,1.65
,,Total,27637,29016,1.05
 27.SATARA, 2010-11,Kharif     ,50100,81600,1.63
,,Summer     ,4700,8100,1.72
,,Total,54800,89700,1.64
, 2011-12,Kharif     ,42300,59500,1.41
,,Summer     ,4600,9600,2.09
,,Total,46900,69100,1.47
, 2012-13,Kharif     ,46200,57200,1.24
,,Summer     ,4500,10000,2.22
,,Total,50700,67200,1.33
, 2013-14,Kharif     ,37700,59450,1.58
,,Summer     ,5800,12300,2.12
,,Total,43500,71750,1.65
, 2014-15,Kharif     ,38400,56200,1.46
,,Summer     ,6800,17900,2.63
,,Total,45200,74100,1.64
, 2015-16,Kharif     ,39300,50520,1.29
,,Summer     ,5900,14700,2.49
,,Total,45200,65220,1.44
, 2016-17,Kharif     ,40500,53800,1.33
,,Summer     ,2500,5500,2.20
,,Total,43000,59300,1.38
, 2017-18,Kharif     ,33200,46900,1.41
,,Summer     ,2476,4700,1.90
,,Total,35676,51600,1.45
, 2018-19,Kharif     ,39158,42177,1.08
,,Summer     ,1960,3760,1.92
,,Total,41118,45937,1.12
 28.SINDHUDURG, 2010-11,Kharif     ,2000,2000,1.00
,,Summer     ,3500,6700,1.91
,,Total,5500,8700,1.58
, 2011-12,Kharif     ,2000,1900,0.95
,,Summer     ,2900,5900,2.03
,,Total,4900,7800,1.59
, 2012-13,Kharif     ,2000,2400,1.20
,,Summer     ,2100,4100,1.95
,,Total,4100,6500,1.59
, 2013-14,Kharif     ,2000,3100,1.55
,,Summer     ,2100,4500,2.14
,,Total,4100,7600,1.85
, 2014-15,Kharif     ,1200,1000,0.83
,,Summer     ,2100,4000,1.90
,,Total,3300,5000,1.52
, 2015-16,Kharif     ,800,500,0.63
,,Summer     ,2100,3900,1.86
,,Total,2900,4400,1.52
, 2016-17,Kharif     ,600,800,1.33
,,Summer     ,800,1300,1.63
,,Total,1400,2100,1.50
, 2017-18,Kharif     ,542,700,1.29
,,Summer     ,805,1900,2.36
,,Total,1347,2600,1.93
, 2018-19,Kharif     ,577,402,0.70
,,Summer     ,860,3290,3.83
,,Total,1437,3692,2.57
 29.SOLAPUR, 2010-11,Kharif     ,3400,1800,0.53
,,Summer     ,8100,12200,1.51
,,Total,11500,14000,1.22
, 2011-12,Kharif     ,1900,1400,0.74
,,Summer     ,4200,4800,1.14
,,Total,6100,6200,1.02
, 2012-13,Kharif     ,1500,600,0.40
,,Summer     ,2700,3900,1.44
,,Total,4200,4500,1.07
, 2013-14,Kharif     ,1500,1200,0.80
,,Summer     ,3500,4700,1.34
,,Total,5000,5900,1.18
, 2014-15,Kharif     ,1800,1000,0.56
,,Summer     ,4000,5900,1.48
,,Total,5800,6900,1.19
, 2015-16,Kharif     ,1100,500,0.45
,,Summer     ,2400,2400,1.00
,,Total,3500,2900,0.83
, 2016-17,Kharif     ,1700,750,0.44
,,Summer     ,3400,4900,1.44
,,Total,5100,5650,1.11
, 2017-18,Kharif     ,2100,1310,0.62
,,Summer     ,3015,4200,1.39
,,Total,5115,5510,1.08
, 2018-19,Kharif     ,2890,1280,0.44
,,Summer     ,660,750,1.14
,,Total,3550,2030,0.57
 30.THANE, 2010-11,Kharif     ,300,300,1.00
,,Summer     ,100,200,2.00
,,Total,400,500,1.25
, 2012-13,Summer     ,100,200,2.00
, 2015-16,Summer     ,40,100,2.50
, 2017-18,Summer     ,2,3,1.50
 31.WARDHA, 2010-11,Kharif     ,200,100,0.50
,,Summer     ,2600,4700,1.81
,,Total,2800,4800,1.71
, 2011-12,Kharif     ,200,200,1.00
,,Summer     ,2600,3700,1.42
,,Total,2800,3900,1.39
, 2012-13,Kharif     ,200,100,0.50
,,Summer     ,2600,3800,1.46
,,Total,2800,3900,1.39
, 2013-14,Kharif     ,200,70,0.35
,,Summer     ,3600,5510,1.53
,,Total,3800,5580,1.47
, 2014-15,Kharif     ,200,100,0.50
,,Summer     ,5900,10200,1.73
,,Total,6100,10300,1.69
, 2015-16,Kharif     ,200,100,0.50
,,Summer     ,10800,19800,1.83
,,Total,11000,19900,1.81
, 2016-17,Kharif     ,300,300,1.00
,,Summer     ,2800,5100,1.82
,,Total,3100,5400,1.74
, 2017-18,Kharif     ,300,400,1.33
,,Summer     ,1286,1506,1.17
,,Total,1586,1906,1.20
, 2018-19,Kharif     ,311,268,0.86
,,Summer     ,680,1040,1.53
,,Total,991,1308,1.32
 32.WASHIM, 2010-11,Summer     ,200,200,1.00
, 2011-12,Summer     ,300,600,2.00
, 2012-13,Summer     ,900,1000,1.11
, 2013-14,Summer     ,900,1200,1.33
, 2014-15,Summer     ,800,900,1.13
, 2015-16,Summer     ,800,800,1.00
, 2016-17,Summer     ,9100,7800,0.86
, 2017-18,Summer     ,409,700,1.71
, 2018-19,Summer     ,1750,1530,0.87
 33.YAVATMAL, 2010-11,Summer     ,6100,7600,1.25
, 2011-12,Kharif     ,100,100,1.00
,,Summer     ,6100,8000,1.31
,,Total,6200,8100,1.31
, 2012-13,Kharif     ,100,100,1.00
,,Summer     ,8600,14200,1.65
,,Total,8700,14300,1.64
, 2013-14,Summer     ,10000,12500,1.25
, 2014-15,Summer     ,9400,11500,1.22
, 2015-16,Summer     ,13000,12300,0.95
, 2016-17,Summer     ,41100,27200,0.66
, 2017-18,Summer     ,3138,3800,1.21
, 2018-19,Summer     ,6010,6050,1.01
Total - Groundnut,,,2850417.00,3321127,1.17
Jowar,,,,,
 1.AHMEDNAGAR, 2010-11,Rabi       ,540000,318000,0.59
, 2011-12,Rabi       ,434600,123200,0.28
, 2012-13,Rabi       ,444800,67000,0.15
, 2013-14,Rabi       ,503900,354500,0.70
, 2014-15,Rabi       ,443600,279800,0.63
, 2015-16,Rabi       ,463900,105900,0.23
, 2016-17,Kharif     ,1400,300,0.21
,,Rabi       ,492800,245700,0.50
,,Total,494200,246000,0.50
, 2017-18,Kharif     ,1600,1000,0.63
,,Rabi       ,548900,298300,0.54
,,Total,550500,299300,0.54
, 2018-19,Kharif     ,1578,468,0.30
,,Rabi       ,435308,54800,0.13
,,Total,436886,55268,0.13
 2.AKOLA, 2010-11,Kharif     ,51200,39400,0.77
,,Rabi       ,100,100,1.00
,,Total,51300,39500,0.77
, 2011-12,Kharif     ,40600,124300,3.06
,,Rabi       ,100,100,1.00
,,Total,40700,124400,3.06
, 2012-13,Kharif     ,41600,71800,1.73
, 2013-14,Kharif     ,36800,21800,0.59
, 2014-15,Kharif     ,12500,15100,1.21
, 2015-16,Kharif     ,11400,10300,0.90
,,Rabi       ,100,100,1.00
,,Total,11500,10400,0.90
, 2016-17,Kharif     ,11300,16700,1.48
,,Rabi       ,100,100,1.00
,,Total,11400,16800,1.47
, 2017-18,Kharif     ,10619,9800,0.92
,,Rabi       ,3,2,0.67
,,Total,10622,9802,0.92
, 2018-19,Kharif     ,9825,13373,1.36
,,Rabi       ,1,,0.00
,,Total,9826,13373,1.36
 3.AMRAVATI, 2010-11,Kharif     ,48400,51700,1.07
,,Rabi       ,1100,1100,1.00
,,Total,49500,52800,1.07
, 2011-12,Kharif     ,39700,58300,1.47
,,Rabi       ,600,500,0.83
,,Total,40300,58800,1.46
, 2012-13,Kharif     ,37700,49000,1.30
, 2013-14,Kharif     ,35200,22700,0.64
, 2014-15,Kharif     ,26800,27400,1.02
,,Rabi       ,200,200,1.00
,,Total,27000,27600,1.02
, 2015-16,Kharif     ,25400,18500,0.73
, 2016-17,Kharif     ,23900,29400,1.23
, 2017-18,Kharif     ,18341,17500,0.95
, 2018-19,Kharif     ,16391,11716,0.71
,,Rabi       ,8,,0.00
,,Total,16399,11716,0.71
 4.AURANGABAD, 2010-11,Kharif     ,7100,14800,2.08
,,Rabi       ,80800,62800,0.78
,,Total,87900,77600,0.88
, 2011-12,Kharif     ,5900,11600,1.97
,,Rabi       ,86300,65200,0.76
,,Total,92200,76800,0.83
, 2012-13,Kharif     ,5900,6300,1.07
,,Rabi       ,96400,26000,0.27
,,Total,102300,32300,0.32
, 2013-14,Kharif     ,3600,6500,1.81
,,Rabi       ,86200,65400,0.76
,,Total,89800,71900,0.80
, 2014-15,Kharif     ,3700,1700,0.46
,,Rabi       ,107100,44900,0.42
,,Total,110800,46600,0.42
, 2015-16,Kharif     ,3400,1400,0.41
,,Rabi       ,123400,39400,0.32
,,Total,126800,40800,0.32
, 2016-17,Kharif     ,3600,3900,1.08
,,Rabi       ,146900,130100,0.89
,,Total,150500,134000,0.89
, 2017-18,Kharif     ,3300,4800,1.45
,,Rabi       ,156900,106300,0.68
,,Total,160200,111100,0.69
, 2018-19,Kharif     ,1827,855,0.47
,,Rabi       ,55450,17200,0.31
,,Total,57277,18055,0.32
 5.BEED, 2010-11,Kharif     ,33600,43600,1.30
,,Rabi       ,194400,140400,0.72
,,Total,228000,184000,0.81
, 2011-12,Kharif     ,28800,32800,1.14
,,Rabi       ,170400,117700,0.69
,,Total,199200,150500,0.76
, 2012-13,Kharif     ,28800,30300,1.05
,,Rabi       ,186500,48200,0.26
,,Total,215300,78500,0.36
, 2013-14,Kharif     ,18100,23100,1.28
,,Rabi       ,262300,170200,0.65
,,Total,280400,193300,0.69
, 2014-15,Kharif     ,19400,10300,0.53
,,Rabi       ,250400,134800,0.54
,,Total,269800,145100,0.54
, 2015-16,Kharif     ,19200,5600,0.29
,,Rabi       ,282000,80600,0.29
,,Total,301200,86200,0.29
, 2016-17,Kharif     ,19000,5640,0.30
,,Rabi       ,449800,237470,0.53
,,Total,468800,243110,0.52
, 2017-18,Kharif     ,21000,14610,0.70
,,Rabi       ,500300,232640,0.47
,,Total,521300,247250,0.47
, 2018-19,Kharif     ,7852,1973,0.25
,,Rabi       ,79040,22200,0.28
,,Total,86892,24173,0.28
 6.BULDHANA, 2010-11,Kharif     ,49400,61400,1.24
,,Rabi       ,20400,20400,1.00
,,Total,69800,81800,1.17
, 2011-12,Kharif     ,48200,85500,1.77
,,Rabi       ,10700,8900,0.83
,,Total,58900,94400,1.60
, 2012-13,Kharif     ,41600,70700,1.70
,,Rabi       ,9500,7700,0.81
,,Total,51100,78400,1.53
, 2013-14,Kharif     ,44600,38200,0.86
,,Rabi       ,13300,10700,0.80
,,Total,57900,48900,0.84
, 2014-15,Kharif     ,20600,22100,1.07
,,Rabi       ,10800,8900,0.82
,,Total,31400,31000,0.99
, 2015-16,Kharif     ,20400,12700,0.62
,,Rabi       ,10300,5800,0.56
,,Total,30700,18500,0.60
, 2016-17,Kharif     ,22460,32100,1.43
,,Rabi       ,13350,15500,1.16
,,Total,35810,47600,1.33
, 2017-18,Kharif     ,20202,18600,0.92
,,Rabi       ,13231,9100,0.69
,,Total,33433,27700,0.83
, 2018-19,Kharif     ,19649,21059,1.07
,,Rabi       ,11980,5800,0.48
,,Total,31629,26859,0.85
 7.CHANDRAPUR, 2010-11,Kharif     ,2100,1300,0.62
,,Rabi       ,6100,3000,0.49
,,Total,8200,4300,0.52
, 2011-12,Kharif     ,2500,1800,0.72
,,Rabi       ,5000,1900,0.38
,,Total,7500,3700,0.49
, 2012-13,Kharif     ,2700,2600,0.96
,,Rabi       ,4600,2500,0.54
,,Total,7300,5100,0.70
, 2013-14,Kharif     ,2700,2100,0.78
,,Rabi       ,5100,2300,0.45
,,Total,7800,4400,0.56
, 2014-15,Kharif     ,2800,11100,3.96
,,Rabi       ,5900,2600,0.44
,,Total,8700,13700,1.57
, 2015-16,Kharif     ,2700,1800,0.67
,,Rabi       ,5700,2000,0.35
,,Total,8400,3800,0.45
, 2016-17,Kharif     ,2700,1000,0.37
,,Rabi       ,4300,2700,0.63
,,Total,7000,3700,0.53
, 2017-18,Kharif     ,2200,1300,0.59
,,Rabi       ,1300,300,0.23
,,Total,3500,1600,0.46
, 2018-19,Kharif     ,1966,1157,0.59
,,Rabi       ,1330,900,0.68
,,Total,3296,2057,0.62
 8.DHULE, 2010-11,Kharif     ,24500,53900,2.20
,,Rabi       ,9700,16100,1.66
,,Total,34200,70000,2.05
, 2011-12,Kharif     ,22000,34500,1.57
,,Rabi       ,10500,12900,1.23
,,Total,32500,47400,1.46
, 2012-13,Kharif     ,20400,31900,1.56
,,Rabi       ,16000,18100,1.13
,,Total,36400,50000,1.37
, 2013-14,Kharif     ,19700,35100,1.78
,,Rabi       ,19200,26700,1.39
,,Total,38900,61800,1.59
, 2014-15,Kharif     ,19800,23500,1.19
,,Rabi       ,11000,14800,1.35
,,Total,30800,38300,1.24
, 2015-16,Kharif     ,21100,19600,0.93
,,Rabi       ,11600,10500,0.91
,,Total,32700,30100,0.92
, 2016-17,Kharif     ,20000,24300,1.22
,,Rabi       ,12100,13800,1.14
,,Total,32100,38100,1.19
, 2017-18,Kharif     ,22000,32700,1.49
,,Rabi       ,16300,16800,1.03
,,Total,38300,49500,1.29
, 2018-19,Kharif     ,25435,21189,0.83
,,Rabi       ,15990,11700,0.73
,,Total,41425,32889,0.79
 9.GADCHIROLI, 2010-11,Rabi       ,3500,2600,0.74
, 2011-12,Rabi       ,1400,900,0.64
, 2012-13,Rabi       ,1300,1500,1.15
, 2013-14,Rabi       ,1100,1100,1.00
, 2014-15,Rabi       ,400,300,0.75
, 2015-16,Rabi       ,200,100,0.50
, 2016-17,Rabi       ,100,100,1.00
, 2017-18,Kharif     ,23,12,0.52
,,Rabi       ,1300,700,0.54
,,Total,1323,712,0.54
, 2018-19,Rabi       ,1290,530,0.41
 10.HINGOLI, 2010-11,Kharif     ,40800,46900,1.15
,,Rabi       ,25600,17300,0.68
,,Total,66400,64200,0.97
, 2011-12,Kharif     ,42900,53700,1.25
,,Rabi       ,21700,16200,0.75
,,Total,64600,69900,1.08
, 2012-13,Kharif     ,50500,76500,1.51
,,Rabi       ,24900,28900,1.16
,,Total,75400,105400,1.40
, 2013-14,Kharif     ,46900,46500,0.99
,,Rabi       ,10100,11200,1.11
,,Total,57000,57700,1.01
, 2014-15,Kharif     ,47900,19200,0.40
,,Rabi       ,7300,5000,0.68
,,Total,55200,24200,0.44
, 2015-16,Kharif     ,47800,18700,0.39
,,Rabi       ,10000,3900,0.39
,,Total,57800,22600,0.39
, 2016-17,Kharif     ,54800,25500,0.47
,,Rabi       ,8100,5500,0.68
,,Total,62900,31000,0.49
, 2017-18,Kharif     ,56997,33800,0.59
,,Rabi       ,11669,10800,0.93
,,Total,68666,44600,0.65
, 2018-19,Kharif     ,56244,15813,0.28
,,Rabi       ,6740,4700,0.70
,,Total,62984,20513,0.33
 11.JALGAON, 2010-11,Kharif     ,117300,271200,2.31
,,Rabi       ,54500,89400,1.64
,,Total,171800,360600,2.10
, 2011-12,Kharif     ,75700,177600,2.35
,,Rabi       ,27700,40600,1.47
,,Total,103400,218200,2.11
, 2012-13,Kharif     ,77500,150200,1.94
,,Rabi       ,25700,28300,1.10
,,Total,103200,178500,1.73
, 2013-14,Kharif     ,77600,178300,2.30
,,Rabi       ,25700,40300,1.57
,,Total,103300,218600,2.12
, 2014-15,Kharif     ,53500,119600,2.24
,,Rabi       ,32500,45300,1.39
,,Total,86000,164900,1.92
, 2015-16,Kharif     ,51500,64100,1.24
,,Rabi       ,30800,34700,1.13
,,Total,82300,98800,1.20
