Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
, 2013-14,Rabi       ,85900,74700,0.87
, 2014-15,Rabi       ,112900,48700,0.43
, 2015-16,Rabi       ,68400,15400,0.23
, 2016-17,Rabi       ,77700,61600,0.79
, 2017-18,Rabi       ,153482,117900,0.77
, 2018-19,Rabi       ,86910,51900,0.60
 22.PALGHAR, 2014-15,Rabi       ,1200,900,0.75
, 2015-16,Rabi       ,1800,1200,0.67
, 2016-17,Rabi       ,1900,1800,0.95
, 2017-18,Rabi       ,1900,1700,0.89
, 2018-19,Rabi       ,1000,900,0.90
 23.PARBHANI, 2010-11,Rabi       ,61000,39800,0.65
, 2011-12,Rabi       ,48400,33400,0.69
, 2012-13,Rabi       ,57300,33500,0.58
, 2013-14,Rabi       ,67000,47800,0.71
, 2014-15,Rabi       ,45600,28400,0.62
, 2015-16,Rabi       ,41300,8600,0.21
, 2016-17,Rabi       ,71630,59825,0.84
, 2017-18,Rabi       ,107869,67192,0.62
, 2018-19,Rabi       ,53830,38500,0.72
 24.PUNE, 2010-11,Rabi       ,58100,55200,0.95
, 2011-12,Rabi       ,35400,33000,0.93
, 2012-13,Rabi       ,37800,27000,0.71
, 2013-14,Rabi       ,50600,41200,0.81
, 2014-15,Rabi       ,59900,51800,0.86
, 2015-16,Rabi       ,63700,54500,0.86
, 2016-17,Rabi       ,80500,86500,1.07
, 2017-18,Rabi       ,90303,102700,1.14
, 2018-19,Rabi       ,83400,61400,0.74
 25.RAIGAD, 2010-11,Rabi       ,1800,1600,0.89
, 2011-12,Rabi       ,1800,1600,0.89
, 2015-16,Rabi       ,900,600,0.67
, 2016-17,Rabi       ,900,800,0.89
, 2017-18,Rabi       ,7,,0.00
 26.RATNAGIRI, 2015-16,Rabi       ,20,10,0.50
 27.SANGLI, 2010-11,Rabi       ,37200,34400,0.92
, 2011-12,Rabi       ,22700,17400,0.77
, 2012-13,Rabi       ,23900,14400,0.60
, 2013-14,Rabi       ,27400,20400,0.74
, 2014-15,Rabi       ,27100,26500,0.98
, 2015-16,Rabi       ,22300,14000,0.63
, 2016-17,Rabi       ,28300,23600,0.83
, 2017-18,Rabi       ,29400,26900,0.91
, 2018-19,Rabi       ,17310,11900,0.69
 28.SATARA, 2010-11,Rabi       ,29900,24300,0.81
