state,district,year,month,rain
AndamanandNicobarIslands,Nicobar,2011,August,174.2
AndamanandNicobarIslands,Nicobar,2011,September,183.9
AndamanandNicobarIslands,Nicobar,2011,October,226
AndamanandNicobarIslands,Nicobar,2011,November,323.4
AndamanandNicobarIslands,Nicobar,2011,December,528.3
AndamanandNicobarIslands,Nicobar,2012,January,49.4
AndamanandNicobarIslands,Nicobar,2012,February,61.6
AndamanandNicobarIslands,Nicobar,2012,March,169.2
AndamanandNicobarIslands,Nicobar,2012,April,305.5
AndamanandNicobarIslands,Nicobar,2012,May,364.7
AndamanandNicobarIslands,Nicobar,2012,June,344.3
AndamanandNicobarIslands,Nicobar,2012,July,141.4
AndamanandNicobarIslands,Nicobar,2012,August,137.1
AndamanandNicobarIslands,Nicobar,2012,September,378.5
AndamanandNicobarIslands,Nicobar,2012,October,409.8
AndamanandNicobarIslands,Nicobar,2012,November,144
AndamanandNicobarIslands,Nicobar,2012,December,103.4
AndamanandNicobarIslands,Nicobar,2013,January,21.5
AndamanandNicobarIslands,Nicobar,2013,February,7
AndamanandNicobarIslands,Nicobar,2013,March,60.4
AndamanandNicobarIslands,Nicobar,2013,April,51.1
AndamanandNicobarIslands,Nicobar,2013,May,433.8
AndamanandNicobarIslands,Nicobar,2013,June,343.7
AndamanandNicobarIslands,Nicobar,2013,July,180.8
AndamanandNicobarIslands,Nicobar,2013,August,347.6
AndamanandNicobarIslands,Nicobar,2013,September,277.2
AndamanandNicobarIslands,Nicobar,2013,October,232.8
AndamanandNicobarIslands,Nicobar,2013,November,315.1
AndamanandNicobarIslands,Nicobar,2013,December,123.7
AndamanandNicobarIslands,Nicobar,2014,January,33.2
AndamanandNicobarIslands,Nicobar,2014,February,14
AndamanandNicobarIslands,Nicobar,2014,March,182.3
AndamanandNicobarIslands,Nicobar,2014,April,235.9
AndamanandNicobarIslands,Nicobar,2014,May,187
AndamanandNicobarIslands,Nicobar,2014,June,282.3
AndamanandNicobarIslands,Nicobar,2014,July,214.3
AndamanandNicobarIslands,Nicobar,2014,August,302.6
AndamanandNicobarIslands,Nicobar,2014,September,96.4
AndamanandNicobarIslands,Nicobar,2014,October,252.3
AndamanandNicobarIslands,Nicobar,2014,November,404.1
AndamanandNicobarIslands,Nicobar,2014,December,161.3
AndamanandNicobarIslands,Nicobar,2015,January,67.9
AndamanandNicobarIslands,Nicobar,2015,February,27.9
AndamanandNicobarIslands,Nicobar,2015,March,86.6
AndamanandNicobarIslands,Nicobar,2015,April,161.1
AndamanandNicobarIslands,Nicobar,2015,May,465.2
AndamanandNicobarIslands,Nicobar,2015,June,139
AndamanandNicobarIslands,Nicobar,2015,July,152.7
AndamanandNicobarIslands,Nicobar,2015,August,169.1
AndamanandNicobarIslands,Nicobar,2015,September,164.9
AndamanandNicobarIslands,Nicobar,2015,October,122.6
AndamanandNicobarIslands,Nicobar,2015,November,138.4
AndamanandNicobarIslands,Nicobar,2015,December,142
AndamanandNicobarIslands,Nicobar,2016,January,79.8
AndamanandNicobarIslands,Nicobar,2016,February,26
AndamanandNicobarIslands,Nicobar,2016,March,1.7
AndamanandNicobarIslands,Nicobar,2016,April,28.3
AndamanandNicobarIslands,Nicobar,2016,May,232.5
AndamanandNicobarIslands,Nicobar,2016,June,502
AndamanandNicobarIslands,Nicobar,2016,July,442.9
AndamanandNicobarIslands,Nicobar,2016,August,318.9
AndamanandNicobarIslands,Nicobar,2016,September,234.8
AndamanandNicobarIslands,Nicobar,2016,October,249.1
AndamanandNicobarIslands,Nicobar,2016,November,583.2
AndamanandNicobarIslands,Nicobar,2016,December,355.7
AndhraPradesh,Khammam,2015,January,0
AndhraPradesh,Khammam,2015,February,0
AndhraPradesh,Khammam,2015,March,10.1
AndhraPradesh,Khammam,2015,April,2.8
AndhraPradesh,Khammam,2015,May,68.3
AndhraPradesh,Khammam,2015,June,36.4
AndhraPradesh,Khammam,2015,July,185.2
AndhraPradesh,Khammam,2015,August,172.1
AndhraPradesh,Khammam,2015,September,144.2
AndhraPradesh,Khammam,2015,October,81.4
AndhraPradesh,Khammam,2015,November,33.6
AndhraPradesh,Khammam,2015,December,0
AndhraPradesh,Khammam,2016,January,29.5
AndhraPradesh,Khammam,2016,February,4.7
AndhraPradesh,Khammam,2016,March,2.2
AndhraPradesh,Khammam,2016,April,23.8
AndhraPradesh,Khammam,2016,May,134.2
AndhraPradesh,Khammam,2016,June,153.6
AndhraPradesh,Khammam,2016,July,615
AndhraPradesh,Khammam,2016,August,304.6
AndhraPradesh,Khammam,2016,September,303.6
AndhraPradesh,Khammam,2016,October,120
AndhraPradesh,Khammam,2016,November,67.5
AndhraPradesh,Khammam,2016,December,45
AndhraPradesh,Krishna,2015,January,0
AndhraPradesh,Krishna,2015,February,0
AndhraPradesh,Krishna,2015,March,0.8
AndhraPradesh,Krishna,2015,April,0
AndhraPradesh,Krishna,2015,May,105.1
AndhraPradesh,Krishna,2015,June,36.1
AndhraPradesh,Krishna,2015,July,87.2
AndhraPradesh,Krishna,2015,August,175.7
AndhraPradesh,Krishna,2015,September,154.8
AndhraPradesh,Krishna,2015,October,75.6
AndhraPradesh,Krishna,2015,November,99.1
AndhraPradesh,Krishna,2015,December,1.7
AndhraPradesh,Krishna,2016,January,16.6
AndhraPradesh,Krishna,2016,February,0
AndhraPradesh,Krishna,2016,March,0
AndhraPradesh,Krishna,2016,April,20.1
AndhraPradesh,Krishna,2016,May,202.3
AndhraPradesh,Krishna,2016,June,131.7
AndhraPradesh,Krishna,2016,July,373.1
AndhraPradesh,Krishna,2016,August,296.2
AndhraPradesh,Krishna,2016,September,318.1
AndhraPradesh,Krishna,2016,October,201.8
AndhraPradesh,Krishna,2016,November,152.8
AndhraPradesh,Krishna,2016,December,92.5
AndhraPradesh,Kurnool,2015,January,0.1
AndhraPradesh,Kurnool,2015,February,0
AndhraPradesh,Kurnool,2015,March,12.8
AndhraPradesh,Kurnool,2015,April,0
AndhraPradesh,Kurnool,2015,May,67.5
AndhraPradesh,Kurnool,2015,June,88.6
AndhraPradesh,Kurnool,2015,July,24.7
AndhraPradesh,Kurnool,2015,August,88.5
AndhraPradesh,Kurnool,2015,September,227.3
AndhraPradesh,Kurnool,2015,October,197.2
AndhraPradesh,Kurnool,2015,November,57.8
AndhraPradesh,Kurnool,2015,December,3.4
AndhraPradesh,Kurnool,2016,January,4.1
AndhraPradesh,Kurnool,2016,February,0
AndhraPradesh,Kurnool,2016,March,0
AndhraPradesh,Kurnool,2016,April,18.8
AndhraPradesh,Kurnool,2016,May,41.4
AndhraPradesh,Kurnool,2016,June,91.7
AndhraPradesh,Kurnool,2016,July,194
AndhraPradesh,Kurnool,2016,August,208.5
AndhraPradesh,Kurnool,2016,September,124.5
AndhraPradesh,Kurnool,2016,October,80.6
AndhraPradesh,Kurnool,2016,November,48.2
AndhraPradesh,Kurnool,2016,December,11.4
AndhraPradesh,Medak,2015,January,0
AndhraPradesh,Medak,2015,February,0
AndhraPradesh,Medak,2015,March,0
AndhraPradesh,Medak,2015,April,6.6
AndhraPradesh,Medak,2015,May,21
AndhraPradesh,Medak,2015,June,52.3
AndhraPradesh,Medak,2015,July,64.3
AndhraPradesh,Medak,2015,August,157.6
AndhraPradesh,Medak,2015,September,142.7
AndhraPradesh,Medak,2015,October,41.2
AndhraPradesh,Medak,2015,November,13.8
AndhraPradesh,Medak,2015,December,4.6
AndhraPradesh,Medak,2016,January,9.7
AndhraPradesh,Medak,2016,February,13.5
AndhraPradesh,Medak,2016,March,0
AndhraPradesh,Medak,2016,April,5.5
AndhraPradesh,Medak,2016,May,5.3
AndhraPradesh,Medak,2016,June,83.8
AndhraPradesh,Medak,2016,July,337
AndhraPradesh,Medak,2016,August,269.9
AndhraPradesh,Medak,2016,September,199.6
AndhraPradesh,Medak,2016,October,95.2
AndhraPradesh,Medak,2016,November,18.3
AndhraPradesh,Medak,2016,December,0.6
AndhraPradesh,Nellore,2015,January,0.1
AndhraPradesh,Nellore,2015,February,0
AndhraPradesh,Nellore,2015,March,0.1
AndhraPradesh,Nellore,2015,April,0
AndhraPradesh,Nellore,2015,May,28.5
AndhraPradesh,Nellore,2015,June,33.2
AndhraPradesh,Nellore,2015,July,40.3
AndhraPradesh,Nellore,2015,August,111.6
AndhraPradesh,Nellore,2015,September,66.9
AndhraPradesh,Nellore,2015,October,49.6
AndhraPradesh,Nellore,2015,November,465.7
AndhraPradesh,Nellore,2015,December,109.6
AndhraPradesh,Nellore,2016,January,4.9
AndhraPradesh,Nellore,2016,February,0
AndhraPradesh,Nellore,2016,March,0
AndhraPradesh,Nellore,2016,April,17.8
AndhraPradesh,Nellore,2016,May,108.3
AndhraPradesh,Nellore,2016,June,112.5
AndhraPradesh,Nellore,2016,July,116.3
AndhraPradesh,Nellore,2016,August,203.7
