
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1943"	"0.093"	"0"	"0.093"	"0.604"	"43.007"	"304.608"	"521.082"	"83.5"	"253.084"	"165.693"	"0.256"	"0"
"1944"	"0"	"0.158"	"2.257"	"0.044"	"3.701"	"246.821"	"738.753"	"417.049"	"128.355"	"108.963"	"0.483"	"0"
"1945"	"7.851"	"0"	"0"	"0.44"	"0.112"	"250.43"	"503.209"	"393.405"	"313.431"	"13.381"	"3.03"	"0"
"1946"	"0"	"2.553"	"0.083"	"10.952"	"16.87"	"252.295"	"395.476"	"343.777"	"277.704"	"12.024"	"66.664"	"9.684"
"1947"	"1.831"	"0.358"	"1.742"	"34.233"	"6.425"	"100.128"	"470.221"	"412.238"	"429.214"	"35.065"	"0.385"	"15.396"
"1948"	"7.273"	"0.264"	"0.216"	"0.662"	"0.667"	"295.499"	"500.237"	"209.777"	"122.932"	"36.989"	"75.187"	"0.022"
"1949"	"0"	"0"	"0.077"	"0.063"	"37.515"	"158.099"	"372.396"	"239.561"	"455.188"	"54.705"	"1.261"	"0"
"1950"	"0"	"0"	"0.233"	"0.995"	"6.191"	"59.389"	"604.941"	"49.413"	"302.163"	"34.467"	"0.231"	"0.266"
"1951"	"1.336"	"0"	"0.976"	"6.272"	"0.997"	"191.21"	"499.268"	"170.123"	"56.287"	"94.789"	"22.795"	"0"
"1952"	"0"	"0.176"	"0"	"0.06"	"5.013"	"278.146"	"359.93"	"116.898"	"64.461"	"21.825"	"0.231"	"0.235"
"1953"	"4.889"	"0"	"1.069"	"2.65"	"0.118"	"258.575"	"345.468"	"279.724"	"178.224"	"58.808"	"0.231"	"0"
"1954"	"2.849"	"0.852"	"17.004"	"1.555"	"1.987"	"331.372"	"485.155"	"298.092"	"319.259"	"10.77"	"0.244"	"3.174"
"1955"	"1.985"	"0"	"2.804"	"0.588"	"1.018"	"302.506"	"297.572"	"498.26"	"345.809"	"147.627"	"0.231"	"0"
"1956"	"0.049"	"0"	"0"	"3.233"	"77.302"	"229.909"	"747.023"	"324.678"	"356.789"	"153.88"	"30.275"	"13.955"
"1957"	"0.184"	"0"	"0.765"	"3.636"	"19.503"	"230.636"	"343.715"	"414.834"	"114.565"	"29.689"	"15.485"	"0"
"1958"	"1.171"	"0"	"0.174"	"7.429"	"2.199"	"248.399"	"645.164"	"525.453"	"164.903"	"79.33"	"69.249"	"0.393"
"1959"	"1.189"	"0"	"0"	"0.881"	"11.022"	"220.097"	"453.314"	"382.768"	"254.047"	"130.754"	"16.595"	"0"
"1960"	"0.212"	"0"	"0.231"	"0.112"	"72.405"	"215.008"	"315.316"	"173.145"	"274.077"	"31.798"	"4.077"	"0"
"1961"	"0.011"	"1.549"	"0.011"	"1.888"	"86.315"	"264.68"	"410.186"	"212.661"	"230.832"	"61.163"	"1.376"	"0.074"
"1962"	"0.055"	"0"	"12.993"	"6.576"	"56.515"	"102.748"	"451.473"	"199.586"	"262.056"	"13.95"	"5.757"	"42.746"
"1963"	"0.896"	"0.264"	"3.733"	"2.121"	"2.596"	"243.147"	"423.823"	"404.196"	"122.087"	"49.262"	"12.218"	"0.836"
"1964"	"0"	"0"	"0.618"	"0.556"	"5.789"	"285.382"	"484.185"	"288.335"	"302.437"	"35.625"	"11.729"	"0"
"1965"	"4.609"	"0.001"	"0"	"3.214"	"0.114"	"100.133"	"687.703"	"554.826"	"58.744"	"1.291"	"8.176"	"17.44"
"1966"	"2.708"	"0"	"0.077"	"0.011"	"27.944"	"154.676"	"515.435"	"93.421"	"260.895"	"4.298"	"45.864"	"8.21"
"1967"	"0"	"0"	"2.147"	"0.498"	"0.317"	"240.324"	"820.082"	"230.579"	"195.308"	"25.522"	"0.231"	"32.603"
"1968"	"0.016"	"0.117"	"4.578"	"2.38"	"0.112"	"125.882"	"477.713"	"363.931"	"192.41"	"67.582"	"6.166"	"0"
"1969"	"0.055"	"0.023"	"0"	"0.024"	"0.149"	"224.44"	"521.802"	"274.461"	"490.69"	"4.779"	"10.04"	"0.152"
"1970"	"0.317"	"0"	"0.302"	"5.706"	"40.283"	"471.95"	"271.867"	"375.437"	"325.589"	"65.96"	"0.231"	"0"
"1971"	"0"	"0"	"0"	"0.025"	"44.852"	"287.827"	"199.547"	"370.996"	"299.33"	"28.755"	"0.231"	"0"
"1972"	"0"	"0.129"	"0"	"0.244"	"1.396"	"101.476"	"252.837"	"207.496"	"78.948"	"2.37"	"37.17"	"0"
"1973"	"0.714"	"2.392"	"0.026"	"0"	"2.797"	"195.077"	"375.995"	"275.434"	"371.38"	"39.114"	"0.545"	"4.125"
"1974"	"0"	"0.022"	"0.69"	"0.67"	"37.951"	"104.5"	"258.542"	"260.864"	"193.854"	"92.696"	"0.231"	"0"
"1975"	"0.034"	"0.16"	"0"	"0"	"3.426"	"263.803"	"381.142"	"425.452"	"290.919"	"106.657"	"0.231"	"0"
"1976"	"0.7"	"0"	"2.661"	"0.055"	"0.649"	"198.091"	"674.666"	"524.848"	"136.464"	"1.269"	"66.368"	"7.487"
"1977"	"0.002"	"0.08"	"13.445"	"3.636"	"5.249"	"249.382"	"326.532"	"156.831"	"103.509"	"27.038"	"69.018"	"1.23"
"1978"	"1.059"	"3.836"	"4.762"	"15.121"	"12.343"	"296.042"	"247.681"	"182.533"	"124.814"	"38.805"	"51.091"	"6.978"
"1979"	"3.695"	"3.371"	"1.984"	"0"	"2.114"	"136.82"	"468.72"	"374.008"	"204.656"	"31.554"	"112.582"	"0.168"
"1980"	"0"	"0.327"	"2.619"	"3.207"	"0.732"	"428.543"	"309.14"	"401.392"	"47.58"	"1.782"	"4.093"	"7.111"
"1981"	"1.149"	"0.039"	"0.185"	"0.016"	"6.339"	"239.601"	"584.407"	"253.948"	"302.536"	"90.625"	"4.081"	"0.892"
"1982"	"0.227"	"0.051"	"0.033"	"0.387"	"15.462"	"214.047"	"299.905"	"210.413"	"123.496"	"16.314"	"59.443"	"0"
"1983"	"1.359"	"0"	"0"	"0.071"	"0.166"	"199.617"	"499.618"	"471.45"	"410.318"	"76.61"	"0.231"	"0.047"
"1984"	"0.038"	"0.325"	"0"	"0"	"0.112"	"179.999"	"669.992"	"236.256"	"216.494"	"117.949"	"0.232"	"0.057"
"1985"	"0.183"	"0"	"0"	"15.646"	"2.806"	"121.069"	"334.797"	"291.611"	"96.335"	"148.473"	"57.227"	"0"
"1986"	"0.041"	"0.51"	"0"	"0.177"	"9.819"	"432.398"	"270.123"	"264.126"	"98.092"	"6.817"	"1.048"	"22.351"
"1987"	"11.382"	"2.019"	"2.015"	"0.868"	"35.666"	"151.524"	"176.332"	"449.236"	"28.473"	"82.722"	"11.398"	"31.15"
"1988"	"0"	"0"	"0"	"19.273"	"4.625"	"150.556"	"676.749"	"233.856"	"502.727"	"37.613"	"0.824"	"0"
"1989"	"0.08"	"0"	"14.814"	"5.395"	"11.571"	"321.044"	"362.812"	"221.778"	"225.65"	"7.761"	"0.231"	"0.792"
"1990"	"0.041"	"0.666"	"0"	"0"	"51.991"	"252.115"	"533.661"	"511.287"	"138.838"	"55.868"	"21.357"	"8.682"
"1991"	"0"	"0.002"	"1.339"	"7.042"	"8.471"	"400.391"	"537.357"	"167.631"	"124.606"	"0.922"	"9.624"	"0"
"1992"	"0"	"0"	"0"	"0.546"	"13.85"	"158.311"	"304.819"	"354.677"	"333.785"	"33.416"	"1.569"	"0"
"1993"	"0"	"0.024"	"2.183"	"0.191"	"6.886"	"207.633"	"539.482"	"157.037"	"150.973"	"106.596"	"5.263"	"12.961"
"1994"	"6.15"	"0.024"	"3.529"	"5.77"	"13.013"	"510.33"	"630.769"	"293.545"	"256.074"	"44.482"	"5.386"	"0"
"1995"	"2.741"	"0"	"4.558"	"10.047"	"15.484"	"101.349"	"541.375"	"126.215"	"264.331"	"48.772"	"1.023"	"0.617"
"1996"	"1.524"	"0.567"	"1.276"	"3.143"	"7.393"	"274.04"	"679.109"	"217.772"	"210.535"	"111.247"	"2.707"	"0"
"1997"	"5.743"	"0"	"0.001"	"14.892"	"4.278"	"427.201"	"458.988"	"497.734"	"69.416"	"23.677"	"31.127"	"14.755"
"1998"	"0.801"	"0.527"	"2.064"	"0.651"	"11.094"	"170.397"	"558.734"	"320.088"	"291.691"	"60.23"	"29.158"	"0"
"1999"	"0"	"1.323"	"0"	"0"	"10.414"	"354.226"	"287.551"	"90.631"	"265.522"	"120.394"	"0.231"	"0.685"
"2000"	"0"	"0.05"	"0"	"0"	"31.947"	"235.818"	"370.646"	"179.802"	"104.453"	"22.553"	"7.799"	"4.55"
"2001"	"0.524"	"0"	"1.82"	"0.121"	"17.236"	"295.955"	"291.388"	"167.339"	"110.355"	"84.414"	"11.964"	"0"
"2002"	"0.105"	"1.149"	"3.738"	"27.969"	"5.41"	"382.347"	"75.62"	"252.219"	"107.542"	"5.974"	"1.092"	"0"
