File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2009353_aid0001,_500m_16_days_EVI,aid0001,2009-12-19,273155.0,-0.1594,0.5372,"(-0.1594,0.5372)",0.2518,0.0637,0.0041,0.2929,0.4147,0.2504,0.0899,0.2117
MOD13A1_006__500m_16_days_EVI_doy2010001_aid0001,_500m_16_days_EVI,aid0001,2010-01-01,272980.0,-0.0972,0.559,"(-0.0972,0.559)",0.2521,0.0674,0.0045,0.2974,0.4318,0.2498,0.0734,0.2078
MOD13A1_006__500m_16_days_EVI_doy2010017_aid0001,_500m_16_days_EVI,aid0001,2010-01-17,273052.0,-0.0821,0.5082,"(-0.0821,0.5082)",0.226,0.0601,0.0036,0.2655,0.3829,0.2235,0.0698,0.1872
MOD13A1_006__500m_16_days_EVI_doy2010033_aid0001,_500m_16_days_EVI,aid0001,2010-02-02,273035.0,-0.0897,0.4789,"(-0.0897,0.4789)",0.2057,0.0578,0.0033,0.2429,0.3552,0.2036,0.0557,0.168
MOD13A1_006__500m_16_days_EVI_doy2010049_aid0001,_500m_16_days_EVI,aid0001,2010-02-18,273045.0,-0.0865,0.5367,"(-0.0865,0.5367)",0.1943,0.0575,0.0033,0.2291,0.3383,0.1891,0.0471,0.1563
MOD13A1_006__500m_16_days_EVI_doy2010065_aid0001,_500m_16_days_EVI,aid0001,2010-03-06,273020.0,-0.0686,0.4606,"(-0.0686,0.4606)",0.1784,0.0502,0.0025,0.2092,0.3052,0.1755,0.0492,0.1452
MOD13A1_006__500m_16_days_EVI_doy2010081_aid0001,_500m_16_days_EVI,aid0001,2010-03-22,273136.0,-0.0808,0.4981,"(-0.0808,0.4981)",0.1707,0.05,0.0025,0.1991,0.2916,0.1662,0.0449,0.1374
MOD13A1_006__500m_16_days_EVI_doy2010097_aid0001,_500m_16_days_EVI,aid0001,2010-04-07,273125.0,-0.0835,0.5248,"(-0.0835,0.5248)",0.1745,0.0529,0.0028,0.2046,0.3046,0.1686,0.038,0.1379
MOD13A1_006__500m_16_days_EVI_doy2010113_aid0001,_500m_16_days_EVI,aid0001,2010-04-23,273208.0,-0.0894,0.5305,"(-0.0894,0.5305)",0.1656,0.0526,0.0028,0.1944,0.2934,0.159,0.0294,0.1284
MOD13A1_006__500m_16_days_EVI_doy2010129_aid0001,_500m_16_days_EVI,aid0001,2010-05-09,273184.0,-0.0938,0.507,"(-0.0938,0.507)",0.1643,0.055,0.003,0.1948,0.3008,0.1566,0.0181,0.1241
MOD13A1_006__500m_16_days_EVI_doy2010145_aid0001,_500m_16_days_EVI,aid0001,2010-05-25,273078.0,-0.1188,0.5767,"(-0.1188,0.5767)",0.1618,0.0585,0.0034,0.1895,0.2936,0.1512,0.016,0.1201
MOD13A1_006__500m_16_days_EVI_doy2010161_aid0001,_500m_16_days_EVI,aid0001,2010-06-10,273084.0,-0.091,0.6187,"(-0.091,0.6187)",0.1798,0.0742,0.0055,0.2215,0.3679,0.1679,-0.0225,0.1239
MOD13A1_006__500m_16_days_EVI_doy2010177_aid0001,_500m_16_days_EVI,aid0001,2010-06-26,273164.0,-0.1397,0.7945,"(-0.1397,0.7945)",0.2429,0.1085,0.0118,0.3091,0.5297,0.227,-0.0582,0.162
MOD13A1_006__500m_16_days_EVI_doy2010193_aid0001,_500m_16_days_EVI,aid0001,2010-07-12,273101.0,-0.1566,0.811,"(-0.1566,0.811)",0.2522,0.1177,0.0139,0.324,0.5571,0.2428,-0.0644,0.1686
MOD13A1_006__500m_16_days_EVI_doy2010209_aid0001,_500m_16_days_EVI,aid0001,2010-07-28,273065.0,-0.1216,0.8908,"(-0.1216,0.8908)",0.3201,0.1427,0.0204,0.4205,0.7373,0.305,-0.1075,0.2093
MOD13A1_006__500m_16_days_EVI_doy2010225_aid0001,_500m_16_days_EVI,aid0001,2010-08-13,273124.0,-0.1869,0.9143,"(-0.1869,0.9143)",0.3366,0.1379,0.019,0.4291,0.7152,0.3304,-0.048,0.2382
MOD13A1_006__500m_16_days_EVI_doy2010241_aid0001,_500m_16_days_EVI,aid0001,2010-08-29,273011.0,-0.1284,0.8638,"(-0.1284,0.8638)",0.4126,0.1381,0.0191,0.5081,0.7846,0.4184,0.047,0.3236
MOD13A1_006__500m_16_days_EVI_doy2010257_aid0001,_500m_16_days_EVI,aid0001,2010-09-14,273078.0,-0.1122,0.7985,"(-0.1122,0.7985)",0.4261,0.113,0.0128,0.5081,0.7469,0.4269,0.1004,0.345
MOD13A1_006__500m_16_days_EVI_doy2010273_aid0001,_500m_16_days_EVI,aid0001,2010-09-30,273101.0,-0.084,0.6742,"(-0.084,0.6742)",0.3792,0.103,0.0106,0.464,0.6742,0.3746,0.055,0.3004
MOD13A1_006__500m_16_days_EVI_doy2010289_aid0001,_500m_16_days_EVI,aid0001,2010-10-16,273129.0,-0.076,0.6315,"(-0.076,0.6315)",0.3288,0.0838,0.007,0.3872,0.5632,0.3275,0.0938,0.2698
MOD13A1_006__500m_16_days_EVI_doy2010305_aid0001,_500m_16_days_EVI,aid0001,2010-11-01,273075.0,-0.0928,0.6019,"(-0.0928,0.6019)",0.3059,0.0761,0.0058,0.3582,0.5121,0.3042,0.1018,0.2556
MOD13A1_006__500m_16_days_EVI_doy2010321_aid0001,_500m_16_days_EVI,aid0001,2010-11-17,272990.0,-0.069,0.5601,"(-0.069,0.5601)",0.2944,0.0706,0.005,0.3411,0.478,0.2926,0.1129,0.2498
MOD13A1_006__500m_16_days_EVI_doy2010337_aid0001,_500m_16_days_EVI,aid0001,2010-12-03,272932.0,-0.0614,0.5748,"(-0.0614,0.5748)",0.2738,0.0705,0.005,0.3165,0.4485,0.2688,0.0965,0.2285
MOD13A1_006__500m_16_days_EVI_doy2010353_aid0001,_500m_16_days_EVI,aid0001,2010-12-19,273311.0,-0.1323,0.5234,"(-0.1323,0.5234)",0.2552,0.0624,0.0039,0.2952,0.4137,0.2544,0.0977,0.2162
MOD13A1_006__500m_16_days_EVI_doy2011001_aid0001,_500m_16_days_EVI,aid0001,2011-01-01,272827.0,-0.0541,0.5217,"(-0.0541,0.5217)",0.2328,0.0586,0.0034,0.271,0.3835,0.2317,0.0835,0.196
MOD13A1_006__500m_16_days_EVI_doy2011017_aid0001,_500m_16_days_EVI,aid0001,2011-01-17,272955.0,-0.0592,0.4669,"(-0.0592,0.4669)",0.2168,0.0569,0.0032,0.2547,0.366,0.2155,0.0692,0.1805
MOD13A1_006__500m_16_days_EVI_doy2011033_aid0001,_500m_16_days_EVI,aid0001,2011-02-02,273183.0,-0.062,0.5117,"(-0.062,0.5117)",0.2072,0.0561,0.0031,0.2428,0.3499,0.2042,0.0643,0.1714
MOD13A1_006__500m_16_days_EVI_doy2011049_aid0001,_500m_16_days_EVI,aid0001,2011-02-18,273170.0,-0.0638,0.5249,"(-0.0638,0.5249)",0.2068,0.0579,0.0034,0.24,0.3453,0.2008,0.0646,0.1698
MOD13A1_006__500m_16_days_EVI_doy2011065_aid0001,_500m_16_days_EVI,aid0001,2011-03-06,273067.0,-0.0762,0.4907,"(-0.0762,0.4907)",0.1837,0.0493,0.0024,0.2134,0.3061,0.1796,0.0589,0.1516
MOD13A1_006__500m_16_days_EVI_doy2011081_aid0001,_500m_16_days_EVI,aid0001,2011-03-22,273138.0,-0.07,0.5103,"(-0.07,0.5103)",0.1754,0.0476,0.0023,0.2036,0.2933,0.1717,0.0541,0.1438
MOD13A1_006__500m_16_days_EVI_doy2011097_aid0001,_500m_16_days_EVI,aid0001,2011-04-07,273175.0,-0.0777,0.5252,"(-0.0777,0.5252)",0.1778,0.0513,0.0026,0.2087,0.3095,0.1734,0.0407,0.1415
MOD13A1_006__500m_16_days_EVI_doy2011113_aid0001,_500m_16_days_EVI,aid0001,2011-04-23,273172.0,-0.0748,0.4461,"(-0.0748,0.4461)",0.1665,0.0492,0.0024,0.1958,0.2933,0.1618,0.0333,0.1308
MOD13A1_006__500m_16_days_EVI_doy2011129_aid0001,_500m_16_days_EVI,aid0001,2011-05-09,273158.0,-0.0848,0.4697,"(-0.0848,0.4697)",0.1701,0.0554,0.0031,0.2033,0.3164,0.1627,0.0148,0.1279
MOD13A1_006__500m_16_days_EVI_doy2011145_aid0001,_500m_16_days_EVI,aid0001,2011-05-25,273062.0,-0.0693,0.5236,"(-0.0693,0.5236)",0.1725,0.06,0.0036,0.206,0.3237,0.1626,0.0098,0.1275
MOD13A1_006__500m_16_days_EVI_doy2011161_aid0001,_500m_16_days_EVI,aid0001,2011-06-10,273097.0,-0.0823,0.6753,"(-0.0823,0.6753)",0.1693,0.0809,0.0065,0.2179,0.3796,0.1521,-0.0503,0.1101
MOD13A1_006__500m_16_days_EVI_doy2011177_aid0001,_500m_16_days_EVI,aid0001,2011-06-26,273063.0,-0.0856,0.8647,"(-0.0856,0.8647)",0.2295,0.1265,0.016,0.3071,0.5724,0.2069,-0.0856,0.1302
MOD13A1_006__500m_16_days_EVI_doy2011193_aid0001,_500m_16_days_EVI,aid0001,2011-07-12,273020.0,-0.1026,0.8592,"(-0.1026,0.8592)",0.1872,0.1067,0.0114,0.2367,0.4251,0.1634,-0.0741,0.1111
MOD13A1_006__500m_16_days_EVI_doy2011209_aid0001,_500m_16_days_EVI,aid0001,2011-07-28,273053.0,-0.1695,0.7747,"(-0.1695,0.7747)",0.2234,0.1131,0.0128,0.2945,0.5333,0.2072,-0.0814,0.1353
MOD13A1_006__500m_16_days_EVI_doy2011225_aid0001,_500m_16_days_EVI,aid0001,2011-08-13,273087.0,-0.1495,0.8546,"(-0.1495,0.8546)",0.3053,0.1459,0.0213,0.4052,0.7251,0.2797,-0.1269,0.1918
MOD13A1_006__500m_16_days_EVI_doy2011241_aid0001,_500m_16_days_EVI,aid0001,2011-08-29,273018.0,-0.141,0.9037,"(-0.141,0.9037)",0.3402,0.1397,0.0195,0.4347,0.7338,0.3292,-0.0616,0.2353
MOD13A1_006__500m_16_days_EVI_doy2011257_aid0001,_500m_16_days_EVI,aid0001,2011-09-14,272916.0,-0.1199,0.8481,"(-0.1199,0.8481)",0.4176,0.1119,0.0125,0.5014,0.7424,0.4237,0.0997,0.3407
MOD13A1_006__500m_16_days_EVI_doy2011273_aid0001,_500m_16_days_EVI,aid0001,2011-09-30,273121.0,-0.0634,0.6791,"(-0.0634,0.6791)",0.3873,0.1053,0.0111,0.4671,0.6791,0.3877,0.0736,0.3097
MOD13A1_006__500m_16_days_EVI_doy2011289_aid0001,_500m_16_days_EVI,aid0001,2011-10-16,273157.0,-0.0582,0.5851,"(-0.0582,0.5851)",0.3206,0.0853,0.0073,0.3808,0.5579,0.323,0.0856,0.2627
MOD13A1_006__500m_16_days_EVI_doy2011305_aid0001,_500m_16_days_EVI,aid0001,2011-11-01,273223.0,-0.0653,0.5344,"(-0.0653,0.5344)",0.27,0.0708,0.005,0.3177,0.4579,0.2708,0.0841,0.2242
MOD13A1_006__500m_16_days_EVI_doy2011321_aid0001,_500m_16_days_EVI,aid0001,2011-11-17,273010.0,-0.065,0.5031,"(-0.065,0.5031)",0.2366,0.0647,0.0042,0.2783,0.4044,0.2341,0.0681,0.1942
MOD13A1_006__500m_16_days_EVI_doy2011337_aid0001,_500m_16_days_EVI,aid0001,2011-12-03,272934.0,-0.061,0.5061,"(-0.061,0.5061)",0.2197,0.0596,0.0036,0.2589,0.3759,0.2176,0.064,0.1809
MOD13A1_006__500m_16_days_EVI_doy2011353_aid0001,_500m_16_days_EVI,aid0001,2011-12-19,273177.0,-0.0893,0.4881,"(-0.0893,0.4881)",0.2155,0.0578,0.0033,0.2541,0.3699,0.2138,0.0611,0.1769
MOD13A1_006__500m_16_days_EVI_doy2012001_aid0001,_500m_16_days_EVI,aid0001,2012-01-01,272930.0,-0.0756,0.4897,"(-0.0756,0.4897)",0.2016,0.0567,0.0032,0.2384,0.3498,0.199,0.0527,0.1641
MOD13A1_006__500m_16_days_EVI_doy2012017_aid0001,_500m_16_days_EVI,aid0001,2012-01-17,273104.0,-0.0805,0.5035,"(-0.0805,0.5035)",0.2009,0.058,0.0034,0.2372,0.35,0.1992,0.0492,0.162
MOD13A1_006__500m_16_days_EVI_doy2012033_aid0001,_500m_16_days_EVI,aid0001,2012-02-02,273097.0,-0.0715,0.4704,"(-0.0715,0.4704)",0.1828,0.0529,0.0028,0.2148,0.3156,0.1788,0.0468,0.1476
MOD13A1_006__500m_16_days_EVI_doy2012049_aid0001,_500m_16_days_EVI,aid0001,2012-02-18,273112.0,-0.0625,0.4523,"(-0.0625,0.4523)",0.1729,0.0494,0.0024,0.2014,0.2933,0.1688,0.0482,0.1401
MOD13A1_006__500m_16_days_EVI_doy2012065_aid0001,_500m_16_days_EVI,aid0001,2012-03-05,273121.0,-0.0744,0.4972,"(-0.0744,0.4972)",0.1704,0.0501,0.0025,0.1994,0.2952,0.1662,0.0397,0.1355
MOD13A1_006__500m_16_days_EVI_doy2012081_aid0001,_500m_16_days_EVI,aid0001,2012-03-21,273267.0,-0.0753,0.4591,"(-0.0753,0.4591)",0.1584,0.0462,0.0021,0.1842,0.2722,0.1535,0.0375,0.1255
MOD13A1_006__500m_16_days_EVI_doy2012097_aid0001,_500m_16_days_EVI,aid0001,2012-04-06,273155.0,-0.0752,0.5045,"(-0.0752,0.5045)",0.1657,0.0514,0.0026,0.1957,0.2974,0.1607,0.0262,0.1279
MOD13A1_006__500m_16_days_EVI_doy2012113_aid0001,_500m_16_days_EVI,aid0001,2012-04-22,273137.0,-0.0665,0.504,"(-0.0665,0.504)",0.1675,0.0537,0.0029,0.1983,0.3045,0.1613,0.0214,0.1275
MOD13A1_006__500m_16_days_EVI_doy2012129_aid0001,_500m_16_days_EVI,aid0001,2012-05-08,273138.0,-0.0828,0.4768,"(-0.0828,0.4768)",0.1646,0.0551,0.003,0.1966,0.308,0.1577,0.0109,0.1223
MOD13A1_006__500m_16_days_EVI_doy2012145_aid0001,_500m_16_days_EVI,aid0001,2012-05-24,273051.0,-0.0941,0.5198,"(-0.0941,0.5198)",0.1606,0.0579,0.0034,0.1952,0.3159,0.1529,-0.006,0.1147
MOD13A1_006__500m_16_days_EVI_doy2012161_aid0001,_500m_16_days_EVI,aid0001,2012-06-09,273050.0,-0.0818,0.6418,"(-0.0818,0.6418)",0.182,0.0741,0.0055,0.2291,0.3906,0.1699,-0.0401,0.1214
MOD13A1_006__500m_16_days_EVI_doy2012177_aid0001,_500m_16_days_EVI,aid0001,2012-06-25,273019.0,-0.1309,0.7596,"(-0.1309,0.7596)",0.1946,0.1045,0.0109,0.2561,0.4688,0.17,-0.0881,0.1143
MOD13A1_006__500m_16_days_EVI_doy2012193_aid0001,_500m_16_days_EVI,aid0001,2012-07-11,273089.0,-0.1392,0.83,"(-0.1392,0.83)",0.2076,0.1218,0.0148,0.2706,0.5026,0.1782,-0.1105,0.1159
MOD13A1_006__500m_16_days_EVI_doy2012209_aid0001,_500m_16_days_EVI,aid0001,2012-07-27,273015.0,-0.1063,0.8536,"(-0.1063,0.8536)",0.1993,0.1101,0.0121,0.2661,0.4941,0.1797,-0.1063,0.1141
MOD13A1_006__500m_16_days_EVI_doy2012225_aid0001,_500m_16_days_EVI,aid0001,2012-08-12,273081.0,-0.1194,0.8816,"(-0.1194,0.8816)",0.3441,0.1449,0.021,0.4453,0.7564,0.3447,-0.0709,0.2379
MOD13A1_006__500m_16_days_EVI_doy2012241_aid0001,_500m_16_days_EVI,aid0001,2012-08-28,273019.0,-0.1369,0.9133,"(-0.1369,0.9133)",0.3342,0.1606,0.0258,0.4517,0.8207,0.3169,-0.1369,0.2057
MOD13A1_006__500m_16_days_EVI_doy2012257_aid0001,_500m_16_days_EVI,aid0001,2012-09-13,273099.0,-0.1218,0.8728,"(-0.1218,0.8728)",0.4345,0.1214,0.0147,0.5232,0.7712,0.4536,0.1085,0.3573
MOD13A1_006__500m_16_days_EVI_doy2012273_aid0001,_500m_16_days_EVI,aid0001,2012-09-29,273125.0,-0.0875,0.7214,"(-0.0875,0.7214)",0.3968,0.1078,0.0116,0.4697,0.6887,0.4019,0.1042,0.3235
MOD13A1_006__500m_16_days_EVI_doy2012289_aid0001,_500m_16_days_EVI,aid0001,2012-10-15,273144.0,-0.068,0.6766,"(-0.068,0.6766)",0.3458,0.0879,0.0077,0.406,0.5819,0.3503,0.1128,0.2887
MOD13A1_006__500m_16_days_EVI_doy2012305_aid0001,_500m_16_days_EVI,aid0001,2012-10-31,273016.0,-0.0545,0.5723,"(-0.0545,0.5723)",0.2769,0.075,0.0056,0.3259,0.4751,0.2743,0.0774,0.2264
MOD13A1_006__500m_16_days_EVI_doy2012321_aid0001,_500m_16_days_EVI,aid0001,2012-11-16,273123.0,-0.0881,0.5427,"(-0.0881,0.5427)",0.2533,0.0696,0.0048,0.2984,0.4344,0.2503,0.0717,0.2077
MOD13A1_006__500m_16_days_EVI_doy2012337_aid0001,_500m_16_days_EVI,aid0001,2012-12-02,273000.0,-0.0691,0.5015,"(-0.0691,0.5015)",0.2286,0.0655,0.0043,0.2708,0.3993,0.2246,0.0566,0.1851
MOD13A1_006__500m_16_days_EVI_doy2012353_aid0001,_500m_16_days_EVI,aid0001,2012-12-18,273196.0,-0.0801,0.4962,"(-0.0801,0.4962)",0.2216,0.0628,0.0039,0.2632,0.389,0.22,0.0535,0.1793
MOD13A1_006__500m_16_days_EVI_doy2013001_aid0001,_500m_16_days_EVI,aid0001,2013-01-01,272889.0,-0.0602,0.4899,"(-0.0602,0.4899)",0.2017,0.0604,0.0036,0.2406,0.361,0.1999,0.04,0.1603
MOD13A1_006__500m_16_days_EVI_doy2013017_aid0001,_500m_16_days_EVI,aid0001,2013-01-17,273088.0,-0.0716,0.4749,"(-0.0716,0.4749)",0.1919,0.0588,0.0035,0.2302,0.3509,0.1904,0.029,0.1497
MOD13A1_006__500m_16_days_EVI_doy2013033_aid0001,_500m_16_days_EVI,aid0001,2013-02-02,273166.0,-0.0713,0.4976,"(-0.0713,0.4976)",0.1918,0.0629,0.004,0.2293,0.3526,0.1873,0.0238,0.1471
MOD13A1_006__500m_16_days_EVI_doy2013049_aid0001,_500m_16_days_EVI,aid0001,2013-02-18,273050.0,-0.0701,0.4878,"(-0.0701,0.4878)",0.1732,0.0551,0.003,0.2055,0.3148,0.1701,0.0233,0.1326
MOD13A1_006__500m_16_days_EVI_doy2013065_aid0001,_500m_16_days_EVI,aid0001,2013-03-06,273080.0,-0.0819,0.478,"(-0.0819,0.478)",0.1625,0.05,0.0025,0.1909,0.289,0.1596,0.0274,0.1255
MOD13A1_006__500m_16_days_EVI_doy2013081_aid0001,_500m_16_days_EVI,aid0001,2013-03-22,273021.0,-0.0681,0.5046,"(-0.0681,0.5046)",0.1626,0.0517,0.0027,0.1918,0.293,0.1566,0.0232,0.1243
MOD13A1_006__500m_16_days_EVI_doy2013097_aid0001,_500m_16_days_EVI,aid0001,2013-04-07,273224.0,-0.0749,0.4879,"(-0.0749,0.4879)",0.1571,0.0528,0.0028,0.1887,0.2977,0.1516,0.007,0.116
MOD13A1_006__500m_16_days_EVI_doy2013113_aid0001,_500m_16_days_EVI,aid0001,2013-04-23,273104.0,-0.0826,0.5131,"(-0.0826,0.5131)",0.159,0.0571,0.0033,0.1915,0.3067,0.152,-0.0004,0.1147
MOD13A1_006__500m_16_days_EVI_doy2013129_aid0001,_500m_16_days_EVI,aid0001,2013-05-09,273202.0,-0.1444,0.5374,"(-0.1444,0.5374)",0.1508,0.0537,0.0029,0.1821,0.2932,0.1448,-0.003,0.108
MOD13A1_006__500m_16_days_EVI_doy2013145_aid0001,_500m_16_days_EVI,aid0001,2013-05-25,273108.0,-0.0825,0.598,"(-0.0825,0.598)",0.1559,0.062,0.0038,0.1906,0.3155,0.1449,-0.0174,0.1073
MOD13A1_006__500m_16_days_EVI_doy2013161_aid0001,_500m_16_days_EVI,aid0001,2013-06-10,273014.0,-0.0999,0.6496,"(-0.0999,0.6496)",0.1578,0.0841,0.0071,0.2016,0.3579,0.1399,-0.0527,0.0974
MOD13A1_006__500m_16_days_EVI_doy2013177_aid0001,_500m_16_days_EVI,aid0001,2013-06-26,273173.0,-0.1179,0.7724,"(-0.1179,0.7724)",0.1423,0.0856,0.0073,0.1772,0.3168,0.1247,-0.0542,0.0841
MOD13A1_006__500m_16_days_EVI_doy2013193_aid0001,_500m_16_days_EVI,aid0001,2013-07-12,273011.0,-0.105,0.7719,"(-0.105,0.7719)",0.0997,0.0631,0.004,0.1245,0.2247,0.0856,-0.0424,0.0577
MOD13A1_006__500m_16_days_EVI_doy2013209_aid0001,_500m_16_days_EVI,aid0001,2013-07-28,273001.0,-0.1199,0.8536,"(-0.1199,0.8536)",0.2949,0.1322,0.0175,0.3953,0.6972,0.286,-0.1076,0.194
MOD13A1_006__500m_16_days_EVI_doy2013225_aid0001,_500m_16_days_EVI,aid0001,2013-08-13,273100.0,-0.1493,0.8623,"(-0.1493,0.8623)",0.3512,0.1381,0.0191,0.4537,0.7643,0.3491,-0.0615,0.2466
MOD13A1_006__500m_16_days_EVI_doy2013241_aid0001,_500m_16_days_EVI,aid0001,2013-08-29,273086.0,-0.1274,0.8771,"(-0.1274,0.8771)",0.4281,0.127,0.0161,0.522,0.7979,0.4407,0.0603,0.3373
MOD13A1_006__500m_16_days_EVI_doy2013257_aid0001,_500m_16_days_EVI,aid0001,2013-09-14,273127.0,-0.1087,0.8486,"(-0.1087,0.8486)",0.4237,0.1401,0.0196,0.5332,0.8486,0.412,0.0052,0.322
MOD13A1_006__500m_16_days_EVI_doy2013273_aid0001,_500m_16_days_EVI,aid0001,2013-09-30,273061.0,-0.0939,0.8005,"(-0.0939,0.8005)",0.3829,0.1225,0.015,0.476,0.7416,0.3842,0.0333,0.2989
MOD13A1_006__500m_16_days_EVI_doy2013289_aid0001,_500m_16_days_EVI,aid0001,2013-10-16,273089.0,-0.0625,0.6429,"(-0.0625,0.6429)",0.3501,0.0846,0.0072,0.4093,0.5845,0.3486,0.1171,0.2924
MOD13A1_006__500m_16_days_EVI_doy2013305_aid0001,_500m_16_days_EVI,aid0001,2013-11-01,273226.0,-0.0597,0.6023,"(-0.0597,0.6023)",0.3012,0.0725,0.0053,0.3502,0.4963,0.3005,0.1067,0.2528
MOD13A1_006__500m_16_days_EVI_doy2013321_aid0001,_500m_16_days_EVI,aid0001,2013-11-17,272844.0,-0.0589,0.5653,"(-0.0589,0.5653)",0.2685,0.0703,0.0049,0.3128,0.4487,0.2627,0.0863,0.2222
MOD13A1_006__500m_16_days_EVI_doy2013337_aid0001,_500m_16_days_EVI,aid0001,2013-12-03,272895.0,-0.0635,0.5403,"(-0.0635,0.5403)",0.2386,0.0633,0.004,0.2796,0.4027,0.236,0.0744,0.1975
MOD13A1_006__500m_16_days_EVI_doy2013353_aid0001,_500m_16_days_EVI,aid0001,2013-12-19,273279.0,-0.0989,0.55,"(-0.0989,0.55)",0.2392,0.0621,0.0039,0.279,0.399,0.2373,0.079,0.199
MOD13A1_006__500m_16_days_EVI_doy2014001_aid0001,_500m_16_days_EVI,aid0001,2014-01-01,272983.0,-0.0571,0.55,"(-0.0571,0.55)",0.2274,0.0643,0.0041,0.2658,0.3861,0.2222,0.0653,0.1856
MOD13A1_006__500m_16_days_EVI_doy2014017_aid0001,_500m_16_days_EVI,aid0001,2014-01-17,273072.0,-0.0677,0.5159,"(-0.0677,0.5159)",0.2128,0.0631,0.004,0.2515,0.3722,0.208,0.0503,0.171
MOD13A1_006__500m_16_days_EVI_doy2014033_aid0001,_500m_16_days_EVI,aid0001,2014-02-02,272941.0,-0.0605,0.5032,"(-0.0605,0.5032)",0.2004,0.0594,0.0035,0.2368,0.3527,0.1961,0.0437,0.1595
MOD13A1_006__500m_16_days_EVI_doy2014049_aid0001,_500m_16_days_EVI,aid0001,2014-02-18,273122.0,-0.0931,0.5119,"(-0.0931,0.5119)",0.1863,0.0552,0.003,0.2183,0.3218,0.1794,0.0458,0.1493
MOD13A1_006__500m_16_days_EVI_doy2014065_aid0001,_500m_16_days_EVI,aid0001,2014-03-06,273058.0,-0.0691,0.5321,"(-0.0691,0.5321)",0.1841,0.0563,0.0032,0.2161,0.3214,0.1753,0.0406,0.1459
MOD13A1_006__500m_16_days_EVI_doy2014081_aid0001,_500m_16_days_EVI,aid0001,2014-03-22,273087.0,-0.0877,0.4934,"(-0.0877,0.4934)",0.1742,0.0527,0.0028,0.2056,0.3083,0.1675,0.0344,0.1371
MOD13A1_006__500m_16_days_EVI_doy2014097_aid0001,_500m_16_days_EVI,aid0001,2014-04-07,273059.0,-0.0712,0.549,"(-0.0712,0.549)",0.1772,0.0563,0.0032,0.2102,0.3207,0.1706,0.026,0.1365
MOD13A1_006__500m_16_days_EVI_doy2014113_aid0001,_500m_16_days_EVI,aid0001,2014-04-23,273225.0,-0.0606,0.4932,"(-0.0606,0.4932)",0.1657,0.0527,0.0028,0.1956,0.2991,0.1597,0.0231,0.1266
MOD13A1_006__500m_16_days_EVI_doy2014129_aid0001,_500m_16_days_EVI,aid0001,2014-05-09,273120.0,-0.0592,0.6209,"(-0.0592,0.6209)",0.1749,0.0622,0.0039,0.2099,0.3335,0.1656,0.0039,0.1275
MOD13A1_006__500m_16_days_EVI_doy2014145_aid0001,_500m_16_days_EVI,aid0001,2014-05-25,273075.0,-0.0682,0.5944,"(-0.0682,0.5944)",0.1726,0.0659,0.0043,0.2118,0.3502,0.1637,-0.0189,0.1195
MOD13A1_006__500m_16_days_EVI_doy2014161_aid0001,_500m_16_days_EVI,aid0001,2014-06-10,273059.0,-0.0705,0.6116,"(-0.0705,0.6116)",0.1812,0.0727,0.0053,0.224,0.3746,0.1683,-0.0268,0.1236
MOD13A1_006__500m_16_days_EVI_doy2014177_aid0001,_500m_16_days_EVI,aid0001,2014-06-26,273116.0,-0.0902,0.7256,"(-0.0902,0.7256)",0.1987,0.0937,0.0088,0.2602,0.4673,0.1771,-0.0801,0.1221
MOD13A1_006__500m_16_days_EVI_doy2014193_aid0001,_500m_16_days_EVI,aid0001,2014-07-12,272976.0,-0.0918,0.8147,"(-0.0918,0.8147)",0.1614,0.1077,0.0116,0.2064,0.3883,0.1315,-0.0918,0.0851
MOD13A1_006__500m_16_days_EVI_doy2014209_aid0001,_500m_16_days_EVI,aid0001,2014-07-28,272988.0,-0.1374,0.8855,"(-0.1374,0.8855)",0.2179,0.1352,0.0183,0.2872,0.5396,0.1897,-0.1332,0.1189
MOD13A1_006__500m_16_days_EVI_doy2014225_aid0001,_500m_16_days_EVI,aid0001,2014-08-13,272973.0,-0.1268,0.8705,"(-0.1268,0.8705)",0.323,0.1281,0.0164,0.4113,0.6831,0.3179,-0.042,0.2299
MOD13A1_006__500m_16_days_EVI_doy2014241_aid0001,_500m_16_days_EVI,aid0001,2014-08-29,273037.0,-0.1487,0.933,"(-0.1487,0.933)",0.3559,0.1469,0.0216,0.4608,0.7867,0.3546,-0.0824,0.2435
MOD13A1_006__500m_16_days_EVI_doy2014257_aid0001,_500m_16_days_EVI,aid0001,2014-09-14,273072.0,-0.1449,0.7433,"(-0.1449,0.7433)",0.4157,0.1167,0.0136,0.5098,0.7433,0.4221,0.0657,0.3321
MOD13A1_006__500m_16_days_EVI_doy2014273_aid0001,_500m_16_days_EVI,aid0001,2014-09-30,273181.0,-0.0875,0.6403,"(-0.0875,0.6403)",0.3564,0.0978,0.0096,0.4323,0.6403,0.3614,0.0608,0.2837
MOD13A1_006__500m_16_days_EVI_doy2014289_aid0001,_500m_16_days_EVI,aid0001,2014-10-16,273152.0,-0.0888,0.6506,"(-0.0888,0.6506)",0.3045,0.0804,0.0065,0.359,0.5229,0.3043,0.0858,0.2497
